Ime občine,"Površina (kv. km)","Št. preb.","Št. preb. (kv. km)","Št. naselij","Ustanovitev (leto)",Pokrajina,Statistična regija,"Odcepitev (od občine)"
Šentjernej,96,6.694,70,58,1994,Dolenjska,Jugovzhodna,Novo mesto
Šentjur,"222,3",18.787,85,108,-,Štajerska,Savinjska,-
Šentrupert,49,2.807,57,25,2006,Dolenjska,Jugovzhodna,Trebnje ('06)
Škocjan,"60,4",3.177,53,39,1994,Dolenjska,Jugovzhodna,Novo mesto
Škofja Loka,145,22.667,156,62,-,Gorenjska,Gorenjska,-
Škofljica,"43,3",8.413,194,19,1994,Dolenjska,Osrednjeslovenska,Ljubljana Vič - Rudnik
Šmarje pri Jelšah,"107,7",9.946,93,77,-,Štajerska,Savinjska,-
Šmarješke Toplice,34,3.164,93,24,2006,Dolenjska,Osrednjeslovenska,Novo mesto
Šmartno pri Litiji,"94,9",5.419,57,54,2002,Dolenjska,Osrednjeslovenska,Litija
Šmartno ob Paki,"18,2",3.116,171,10,1994,Štajerska,Savinjska,Velenje
Šoštanj,"95,6",8.420,88,11,1994,Štajerska,Savinjska,Velenje
Štore,"28,1",4.060,144,12,1994,Štajerska,Savinjska,Celje
Tabor,"34,8",1.510,43,7,1998,Štajerska,Savinjska,Žalec
Tišina,"38,8",4.143,107,12,1994,Prekmurje,Pomurska,Murska Sobota
Tolmin,"381,5",11.730,31,72,-,Primorska,Goriška,-
Trbovlje,"57,8",17.545,304,16,-,Štajerska,Zasavska,-
Trebnje,"194,6",14.371,76,131*,-,Dolenjska,Jugovzhodna,-
Trnovska vas,"22,9",1.312,57,7,1998,Štajerska,Savinjska,"Ptuj ('94), Destrnik - Trnovska vas ('98)"
Trzin,"8,6",3.682,428,1,1998,Gorenjska,Gorenjska,Domžale
Tržič,"155,4",15.329,99,35,-,Gorenjska,Gorenjska,-
Turnišče,"23,8",3.380,142,4,1994*,Prekmurje,Pomurska,Lendava*
Velenje,"83,5",33.226,398,26,-,Štajerska,Savinjska,-
Velika Polana,"18,7",1.483,79,3,1998,Prekmurje,Pomurska,"Lendava ('94), Črenšovci ('98)"
Velike Lašče,"103,2",4.110,40,88,1994,Dolenjska,Osrednjeslovenska,Ljubljana Vič - Rudnik
Veržej,12,1.308,109,3,1998,Štajerska,Pomurska,Ljutomer
Videm,"80,2",5.565,69,31,1994,Štajerska,Podravska,Ptuj
Vipava,"107,4",5.282,49,20,1994,Primorska,Goriška,Ajdovščina
Vitanje,"59,4",2.288,36,8,1994,Štajerska,Savinjska,Slovenske Konjice
Vodice,"31,4",4.425,141,16,1994,Gorenjska,Osrednjeslovenska,Ljubljana Šiška
Vojnik,"75,3",8.287,110,55,1994,Štajerska,Savinjska,Celje
Vransko,"53,3",2.546,48,16,1998,Štajerska,Savinjska,Žalec
Vrhnika,"126,3",15.870,126,25,-,Notranjska,Osrednjeslovenska,-
Vuzenica,"50,1",2.748,55,5,1994,Koroška,Koroška,Radlje ob Dravi
Zagorje ob Savi,"147,1",17.098,116,74,-,Gorenjska,Zasavska,-
Zavrč,"19,3",1.519,79,9,1994,Štajerska,Podravska,Ptuj
Zreče,67,6.492,94,27,1994,Štajerska,Savinjska,Slovenske Konjice
Žalec,"117,1",21.210,181,38,,Štajerska,Savinjska,-
Železniki,"164,8",6.773,41,30,1994,Gorenjska,Gorenjska,Škofja Loka
Žetale,38,1.326,35,5,1998,Štajerska,Podravska,"Ptuj ('94), Majšperk ('98)"
Žiri,"49,2",4.904,100,18,1994,Gorenjska,Gorenjska,Škofja Loka
Žirovnica,"46,2",4.071,88,10,1998,Gorenjska,Gorenjska,Jesenice
Žužemberk,"164,3",4.579,28,18,1998,Dolenjska,Jugovzhodna,Novo mesto
